Token,Frequency
which,183
objects,126
light,107
should,104
lenses,104
microscope,78
found,78
photograph,76
writer,75
solution,72
microscopic,68
these,68
their,68
water,67
object,67
plate,66
glass,64
balsam,56
little,55
camera,54
negative,52
being,51
other,49
photo-micrography,48
photography,48
condenser,45
apparatus,45
slide,43
powers,43
those,43
large,41
using,39
great,39
chapter,38
small,37
would,37
while,37
require,36
required,36
necessary,36
about,36
mounted,35
exposure,35
better,35
student,35
there,35
image,34
power,34
stage,34
after,34
plates,33
results,33
crystals,32
placed,32
eye-piece,32
slides,32
obtained,32
swift,32
first,32
place,31
without,31
either,31
useful,31
cover,30
inches,30
difficult,30
until,29
quite,29
through,29
developer,28
easily,28
ordinary,28
before,28
angle,27
price,27
focus,26
microscopes,26
photographing,26
often,26
paper,25
sections,25
possible,25
photo-micrographer,25
generally,25
copper,24
under,24
english,24
bacteria,24
taken,24
position,23
stand,23
perhaps,23
employed,23
every,23
flame,22
transparent,22
piece,22
parts,22
minute,22
instruments,22
however,22
general,22
photo-,22
colour,21
arsenic,21
series,21
negatives,21
several,21
given,21
ounce,20
focussing,20
strong,20
others,20
properly,20
forms,20
following,20
excellent,20
means,20
potash,19
ounces,19
photographs,19
whole,19
above,18
cases,18
short,18
sufficient,18
organisms,18
usually,18
different,18
times,18
micro-,18
medium,17
alcohol,17
insects,17
field,17
prepared,17
various,17
could,17
scientific,17
equal,17
between,16
always,16
strongly,16
working,16
diatoms,16
print,16
become,16
tissues,16
suitable,16
years,16
cheap,16
specially,16
frequently,16
microscopical,16
photographic,16
present,16
grain,15
bleaching,15
becomes,15
gives,15
latter,15
another,15
french,15
section,15
black,15
minutes,15
photographed,15
especially,15
mentioned,15
capable,15
purpose,15
perfect,15
fitted,15
makers,15
still,15
staining,14
mounting,14
turpentine,14
stain,14
gelatine,14
length,14
removed,14
rapid,14
aperture,14
achromatic,14
render,14
alone,14
although,14
process,14
prints,14
valuable,14
beginner,14
larger,14
delicate,14
really,14
preparing,14
clean,13
spirit,13
rapidly,13
ground,13
objective,13
screen,13
diaphragm,13
allow,13
difficulty,13
sub-stage,13
sometimes,13
preparations,13
simply,13
figured,13
where,13
appear,13
bacillus,12
distilled,12
fluid,12
varnish,12
density,12
grains,12
surface,12
together,12
rocks,12
beneath,12
immersion,12
satisfactory,12
definition,12
known,12
useless,12
illumination,12
readily,12
development,12
stands,12
highest,12
produce,12
practice,12
obtain,12
amount,12
public,12
though,11
dried,11
dense,11
perfectly,11
developing,11
paraffin,11
square,11
below,11
sufficiently,11
addition,11
almost,11
thick,11
avoided,11
adjustment,11
owing,11
exposures,11
preparation,11
detail,11
silver,11
unless,11
skill,11
deposits,11
advantage,11
special,11
model,11
smaller,11
collins,11
workmanship,11
making,11
maddox,11
expensive,11
never,11
emery,10
remain,10
dilute,10
drops,10
bromide,10
hardly,10
common,10
powerful,10
method,10
again,10
front,10
three,10
answer,10
brass,10
superior,10
resolving,10
motion,10
coarse,10
largely,10
specimens,10
ready,10
produced,10
makes,10
opaque,10
themselves,10
photo-micrographs,10
sternberg,10
complete,10
messrs.,10
popular,10
photo-micrographic,10
moderate,10
nothing,10
microscopist,10
simple,10
doing,10
carefully,10
google,10
benzol,9
washed,9
hours,9
dissolved,9
slightly,9
metal,9
white,9
shown,9
rather,9
higher,9
sharp,9
shutter,9
fixed,9
mirror,9
mechanical,9
action,9
purchase,9
finished,9
lower,9
least,9
therefore,9
insect,9
brown,9
vegetable,9
practical,9
amongst,9
finish,9
baker,9
opticians,9
appears,9
desired,9
value,9
during,9
materials,9
country,9
subject,9
domain,9
evaporated,8
circle,8
green,8
ammonia,8
sulphite,8
clear,8
second,8
lamps,8
somewhat,8
longer,8
called,8
stated,8
penetration,8
low-angle,8
diatom,8
bull's-eye,8
applied,8
matter,8
messrs,8
shape,8
turned,8
supplied,8
having,8
introduced,8
mount,8
beautiful,8
suited,8
bring,8
photo-micrographers,8
gained,8
operator,8
nature,8
arrangement,8
further,8
details,8
tested,8
costly,8
greater,8
except,8
similar,8
follows,8
information,8
forming,8
resolve,7
cholera,7
stone,7
leaves,7
liquid,7
according,7
specimen,7
portion,7
deposit,7
marked,7
central,7
slowly,7
close,7
bottle,7
hyposulphite,7
immediately,7
citric,7
sodic,7
added,7
oxalate,7
covered,7
sulphate,7
bleached,7
exposed,7
proper,7
washing,7
centre,7
diameter,7
conditions,7
double,7
closed,7
right,7
proceed,7
material,7
edges,7
j-inch,7
remains,7
glycerine,7
satisfactorily,7
foreign,7
distance,7
advised,7
oblique,7
absolutely,7
examined,7
costing,7
usual,7
adjustments,7
firmly,7
increase,7
workers,7
lantern,7
possess,7
impossible,7
since,7
example,7
professional,7
expected,7
beyond,7
skilful,7
structure,7
bodies,7
study,7
graphy,7
number,7
printing,7
requires,7
prove,7
actual,7
thirty,7
fully,7
worker,7
described,7
furnished,7
convenient,7
instrument,7
market,7
